sku,name,category,price,inStock,discountPct
SKU-00001,Rustic Kettle,Kitchen,42.5,true,15
SKU-00002,Classic Notebook,Garden,31.22,true,11
SKU-00003,Rapid Desk Lamp,Electronics,17.34,false,
SKU-00004,Portable Speaker,Fitness,193.24,true,
SKU-00005,Ergonomic Notebook,Electronics,146.42,false,
SKU-00006,Classic Desk Lamp,Outdoors,171.15,true,14
SKU-00007,Classic Puzzle,Electronics,154.94,true,35
SKU-00008,Portable Yoga Mat,Fitness,75.84,true,
SKU-00009,Everyday Notebook,Stationery,200.99,true,
SKU-00010,Everyday Speaker,Office,44.97,true,25
SKU-00011,Classic Speaker,Garden,69.72,true,16
SKU-00012,Modular Yoga Mat,Stationery,214.34,false,12
SKU-00013,Rustic Speaker,Kitchen,67.72,false,
SKU-00014,Everyday Grinder,Electronics,195.74,false,
SKU-00015,Portable Desk Lamp,Stationery,235.96,true,
SKU-00016,Ergonomic Kettle,Stationery,26.54,true,18
SKU-00017,Portable Grinder,Outdoors,67.09,true,
SKU-00018,Ultra Kettle,Toys,9.11,true,
SKU-00019,Compact Puzzle,Fitness,223.21,true,25
SKU-00020,Everyday Kettle,Office,152.41,false,14
SKU-00021,Portable Notebook,Kitchen,234.27,true,20
SKU-00022,Compact Trowel,Fitness,43.71,true,
SKU-00023,Rapid Backpack,Electronics,198.28,true,
SKU-00024,Deluxe Kettle,Garden,84.35,true,
SKU-00025,Deluxe Desk Lamp,Office,106.03,true,
SKU-00026,Rapid Tent,Stationery,148.3,true,
SKU-00027,Rapid Grinder,Stationery,41.4,true,
SKU-00028,Compact Kettle,Stationery,78.62,true,
SKU-00029,Ultra Notebook,Toys,224.45,true,39
SKU-00030,Ergonomic Puzzle,Kitchen,80.39,true,
SKU-00031,Modular Trowel,Office,42.46,true,
SKU-00032,Portable Trowel,Garden,192.28,true,
SKU-00033,Modular Grinder,Electronics,95.37,true,7
SKU-00034,Rustic Notebook,Stationery,75.88,true,
SKU-00035,Ultra Grinder,Office,60.24,true,
SKU-00036,Ergonomic Trowel,Kitchen,206.93,true,
SKU-00037,Rustic Speaker,Electronics,186.31,false,
SKU-00038,Ultra Backpack,Kitchen,191.5,true,
SKU-00039,Portable Puzzle,Garden,144.62,true,
SKU-00040,Rustic Yoga Mat,Fitness,201.8,true,
SKU-00041,Ultra Kettle,Stationery,16.62,true,
SKU-00042,Rustic Kettle,Kitchen,17.44,false,46
SKU-00043,Modular Trowel,Garden,128.29,true,37
SKU-00044,Rapid Tent,Stationery,209.47,false,
SKU-00045,Rapid Grinder,Electronics,119.39,true,
SKU-00046,Portable Desk Lamp,Garden,103.99,true,
SKU-00047,Classic Kettle,Fitness,99.18,false,16
SKU-00048,Rustic Tent,Electronics,221.27,true,
SKU-00049,Everyday Desk Lamp,Kitchen,122.58,true,9
SKU-00050,Rustic Kettle,Toys,218.17,true,
SKU-00051,Classic Yoga Mat,Garden,55.77,false,35
SKU-00052,Ultra Speaker,Fitness,217.36,true,
SKU-00053,Portable Desk Lamp,Office,59.97,true,13
SKU-00054,Deluxe Yoga Mat,Stationery,222.42,false,38
SKU-00055,Ultra Puzzle,Outdoors,138.42,true,
SKU-00056,Rustic Puzzle,Toys,139.67,true,46
SKU-00057,Portable Trowel,Outdoors,133.98,true,18
SKU-00058,Rustic Tent,Toys,56.87,true,
SKU-00059,Everyday Yoga Mat,Garden,76.13,true,33
SKU-00060,Portable Speaker,Office,222.93,true,
SKU-00061,Rapid Tent,Fitness,148.73,false,
SKU-00062,Deluxe Speaker,Kitchen,101.75,true,
SKU-00063,Ultra Yoga Mat,Fitness,63.92,true,
SKU-00064,Everyday Yoga Mat,Garden,224.63,false,
SKU-00065,Compact Speaker,Office,99.15,false,
SKU-00066,Rustic Trowel,Stationery,223.08,true,
SKU-00067,Rustic Desk Lamp,Toys,176.03,true,6
SKU-00068,Compact Backpack,Kitchen,96.51,true,
SKU-00069,Ultra Backpack,Garden,134.24,true,
SKU-00070,Ergonomic Yoga Mat,Garden,28.16,true,
SKU-00071,Ultra Speaker,Fitness,53.31,true,19
SKU-00072,Everyday Notebook,Garden,109.8,true,
SKU-00073,Rustic Backpack,Electronics,118.18,true,
SKU-00074,Rapid Yoga Mat,Outdoors,176.09,false,45
SKU-00075,Deluxe Yoga Mat,Office,109.71,false,
SKU-00076,Modular Puzzle,Stationery,202.63,true,
SKU-00077,Everyday Yoga Mat,Garden,186.9,true,
SKU-00078,Compact Speaker,Electronics,100.5,true,
SKU-00079,Compact Yoga Mat,Garden,67.66,false,48
SKU-00080,Rustic Puzzle,Toys,24.02,true,41
SKU-00081,Rustic Trowel,Stationery,139.97,true,
SKU-00082,Rapid Desk Lamp,Fitness,48.08,true,
SKU-00083,Portable Desk Lamp,Fitness,35.34,true,32
SKU-00084,Portable Kettle,Garden,25.22,true,11
SKU-00085,Deluxe Backpack,Electronics,151.73,true,
SKU-00086,Ergonomic Kettle,Electronics,242.42,true,
SKU-00087,Everyday Grinder,Office,156.13,true,17
SKU-00088,Modular Kettle,Kitchen,45.63,false,
SKU-00089,Ergonomic Grinder,Outdoors,99.85,true,
SKU-00090,Portable Notebook,Stationery,29.7,true,
SKU-00091,Compact Desk Lamp,Outdoors,134.89,true,
SKU-00092,Rapid Speaker,Electronics,169.42,true,
SKU-00093,Rapid Trowel,Toys,211.76,true,
SKU-00094,Modular Kettle,Fitness,53,true,19
SKU-00095,Ergonomic Speaker,Office,147.42,true,
SKU-00096,Rustic Kettle,Stationery,230.63,true,45
SKU-00097,Portable Grinder,Fitness,84.35,true,
SKU-00098,Classic Notebook,Outdoors,122.56,false,22
SKU-00099,Rustic Backpack,Garden,95.13,true,
SKU-00100,Ultra Speaker,Office,108.47,true,
SKU-00101,Ergonomic Puzzle,Toys,17.66,true,
SKU-00102,Rapid Grinder,Stationery,94.28,true,48
SKU-00103,Rustic Trowel,Toys,160.59,false,
SKU-00104,Modular Backpack,Toys,219.95,true,13
SKU-00105,Compact Yoga Mat,Toys,188.86,true,
SKU-00106,Deluxe Backpack,Fitness,113.43,true,
SKU-00107,Rustic Tent,Fitness,189.46,true,
SKU-00108,Modular Backpack,Outdoors,228.74,true,50
SKU-00109,Compact Backpack,Office,25.98,true,36
SKU-00110,Everyday Tent,Fitness,129.78,true,37
SKU-00111,Rapid Desk Lamp,Garden,236.09,false,
SKU-00112,Ultra Backpack,Fitness,86.05,true,
SKU-00113,Compact Puzzle,Electronics,183.23,true,
SKU-00114,Modular Backpack,Fitness,156.63,true,
SKU-00115,Portable Kettle,Kitchen,242.71,true,
SKU-00116,Classic Backpack,Garden,110.63,true,
SKU-00117,Classic Tent,Outdoors,113.08,true,
SKU-00118,Deluxe Backpack,Office,78.12,true,
SKU-00119,Portable Kettle,Outdoors,220.37,true,
SKU-00120,Deluxe Puzzle,Stationery,14,true,
SKU-00121,Deluxe Yoga Mat,Office,20.32,true,
SKU-00122,Deluxe Trowel,Toys,136.42,false,34
SKU-00123,Deluxe Notebook,Garden,27.62,true,
SKU-00124,Ergonomic Notebook,Stationery,174.11,false,
SKU-00125,Rapid Backpack,Office,135.92,true,
SKU-00126,Rapid Tent,Kitchen,120.58,true,
SKU-00127,Deluxe Puzzle,Fitness,31.21,true,
SKU-00128,Everyday Trowel,Electronics,91.11,true,
